RG0000 GB0947 BR1000   h0359  R0000 G0966 B0054
RG0000 GB0944 BR1000   h0360  R0000 G0963 B0057
RG0000 GB0941 BR1000   h0361  R0000 G0960 B0060
RG0000 GB0938 BR1000   h0362  R0000 G0957 B0063
RG0000 GB0935 BR1000   h0363  R0000 G0954 B0066
RG0000 GB0932 BR1000   h0364  R0000 G0951 B0069
RG0000 GB0929 BR1000   h0365  R0000 G0948 B0072
RG0000 GB0926 BR1000   h0366  R0000 G0945 B0075
RG0000 GB0923 BR1000   h0367  R0000 G0942 B0078
RG0000 GB0920 BR1000   h0368  R0000 G0939 B0081
RG0000 GB0917 BR1000   h0369  R0000 G0936 B0084
RG0000 GB0914 BR1000   h0370  R0000 G0933 B0087
RG0000 GB0911 BR1000   h0371  R0000 G0930 B0090
RG0000 GB0908 BR1000   h0372  R0000 G0927 B0093
RG0000 GB0905 BR1000   h0373  R0000 G0924 B0096
RG0000 GB0902 BR1000   h0374  R0000 G0921 B0099
RG0000 GB0900 BR1000   h0375  R0000 G0918 B0102
RG0000 GB0897 BR1000   h0376  R0000 G0915 B0105
RG0000 GB0894 BR1000   h0377  R0000 G0912 B0108
RG0000 GB0891 BR1000   h0378  R0000 G0909 B0111
RG0000 GB0888 BR1000   h0379  R0000 G0906 B0114
RG0000 GB0885 BR1000   h0380  R0000 G0903 B0117
RG0000 GB0882 BR1000   h0381  R0000 G0900 B0120
RG0000 GB0879 BR1000   h0382  R0000 G0897 B0123
RG0000 GB0876 BR1000   h0383  R0000 G0894 B0126
RG0000 GB0873 BR1000   h0384  R0000 G0891 B0129
RG0000 GB0870 BR1000   h0385  R0000 G0888 B0132
RG0000 GB0867 BR1000   h0386  R0000 G0885 B0135
RG0000 GB0864 BR1000   h0387  R0000 G0882 B0138
RG0000 GB0861 BR1000   h0388  R0000 G0879 B0141
RG0000 GB0858 BR1000   h0389  R0000 G0876 B0144
RG0000 GB0855 BR1000   h0390  R0000 G0873 B0147
RG0000 GB0852 BR1000   h0391  R0000 G0870 B0150
RG0000 GB0850 BR1000   h0392  R0000 G0867 B0153
RG0000 GB0847 BR1000   h0393  R0000 G0864 B0156
RG0000 GB0844 BR1000   h0394  R0000 G0861 B0159
RG0000 GB0841 BR1000   h0395  R0000 G0858 B0162
RG0000 GB0838 BR1000   h0396  R0000 G0855 B0165
RG0000 GB0835 BR1000   h0397  R0000 G0852 B0168
RG0000 GB0832 BR1000   h0398  R0000 G0849 B0171
RG0000 GB0829 BR1000   h0399  R0000 G0846 B0174
RG0000 GB0826 BR1000   h0400  R0000 G0843 B0177
RG0000 GB0823 BR1000   h0401  R0000 G0840 B0180
RG0000 GB0820 BR1000   h0402  R0000 G0837 B0183
RG0000 GB0817 BR1000   h0403  R0000 G0834 B0186
RG0000 GB0814 BR1000   h0404  R0000 G0831 B0189
RG0000 GB0811 BR1000   h0405  R0000 G0828 B0192
RG0000 GB0808 BR1000   h0406  R0000 G0825 B0195
RG0000 GB0805 BR1000   h0407  R0000 G0822 B0198
RG0000 GB0802 BR1000   h0408  R0000 G0819 B0201
RG0000 GB0800 BR1000   h0409  R0000 G0816 B0204
RG0000 GB0797 BR1000   h0410  R0000 G0813 B0207
RG0000 GB0794 BR1000   h0411  R0000 G0810 B0210
RG0000 GB0791 BR1000   h0412  R0000 G0807 B0213
RG0000 GB0788 BR1000   h0413  R0000 G0804 B0216
RG0000 GB0785 BR1000   h0414  R0000 G0801 B0219
RG0000 GB0782 BR1000   h0415  R0000 G0798 B0222
RG0000 GB0779 BR1000   h0416  R0000 G0795 B0225
RG0000 GB0776 BR1000   h0417  R0000 G0792 B0228
RG0000 GB0773 BR1000   h0418  R0000 G0789 B0231
RG0000 GB0770 BR1000   h0419  R0000 G0786 B0234
RG0000 GB0767 BR1000   h0420  R0000 G0783 B0237
RG0000 GB0764 BR1000   h0421  R0000 G0780 B0240
RG0000 GB0761 BR1000   h0422  R0000 G0777 B0243
RG0000 GB0758 BR1000   h0423  R0000 G0774 B0246
RG0000 GB0755 BR1000   h0424  R0000 G0771 B0249
RG0000 GB0752 BR1000   h0425  R0000 G0768 B0252
RG0000 GB0750 BR1000   h0426  R0000 G0765 B0255
RG0000 GB0747 BR1000   h0427  R0000 G0762 B0258
RG0000 GB0744 BR1000   h0428  R0000 G0759 B0261
RG0000 GB0741 BR1000   h0429  R0000 G0756 B0264
RG0000 GB0738 BR1000   h0430  R0000 G0753 B0267
RG0000 GB0735 BR1000   h0431  R0000 G0750 B0270
RG0000 GB0732 BR1000   h0432  R0000 G0747 B0273
RG0000 GB0729 BR1000   h0433  R0000 G0744 B0276
RG0000 GB0726 BR1000   h0434  R0000 G0741 B0279
RG0000 GB0723 BR1000   h0435  R0000 G0738 B0282
RG0000 GB0720 BR1000   h0436  R0000 G0735 B0285
RG0000 GB0717 BR1000   h0437  R0000 G0732 B0288
RG0000 GB0714 BR1000   h0438  R0000 G0729 B0291
RG0000 GB0711 BR1000   h0439  R0000 G0726 B0294
RG0000 GB0708 BR1000   h0440  R0000 G0723 B0297
RG0000 GB0705 BR1000   h0441  R0000 G0720 B0300
RG0000 GB0702 BR1000   h0442  R0000 G0717 B0303
RG0000 GB0700 BR1000   h0443  R0000 G0714 B0306
RG0000 GB0697 BR1000   h0444  R0000 G0711 B0309
RG0000 GB0694 BR1000   h0445  R0000 G0708 B0312
RG0000 GB0691 BR1000   h0446  R0000 G0705 B0315
RG0000 GB0688 BR1000   h0447  R0000 G0702 B0318
RG0000 GB0685 BR1000   h0448  R0000 G0699 B0321
RG0000 GB0682 BR1000   h0449  R0000 G0696 B0324
RG0000 GB0679 BR1000   h0450  R0000 G0693 B0327
