RG1000 GB6*** BR0000   h0000  R255 G000 B000
RG0516 GB1000 BR0000   h0239  R255 G239 B000
RG0515 GB1000 BR0000   h0240  R255 G240 B000
RG0514 GB1000 BR0000   h0241  R255 G241 B000
RG0513 GB1000 BR0000   h0242  R255 G242 B000
RG0512 GB1000 BR0000   h0243  R255 G243 B000
RG0511 GB1000 BR0000   h0244  R255 G244 B000
RG0510 GB1000 BR0000   h0245  R255 G245 B000
RG0508 GB1000 BR0000   h0246  R255 G246 B000
RG0507 GB1000 BR0000   h0247  R255 G247 B000
RG0506 GB1000 BR0000   h0248  R255 G248 B000
RG0505 GB1000 BR0000   h0249  R255 G249 B000
RG0504 GB1000 BR0000   h0250  R255 G250 B000
RG0503 GB1000 BR0000   h0251  R255 G251 B000
RG0502 GB1000 BR0000   h0252  R255 G252 B000
RG0501 GB1000 BR0000   h0253  R255 G253 B000
RG0500 GB1000 BR0000   h0254  R255 G254 B000
RG0500 GB1000 BR0000   h0255  R255 G255 B000
RG0500 GB1000 BR0000   h0256  R255 G255 B000
RG0499 GB1000 BR0000   h0257  R254 G255 B000
RG0498 GB1000 BR0000   h0258  R253 G255 B000
RG0497 GB1000 BR0000   h0259  R252 G255 B000
RG0496 GB1000 BR0000   h0260  R251 G255 B000
RG0495 GB1000 BR0000   h0261  R250 G255 B000
RG0494 GB1000 BR0000   h0262  R249 G255 B000
RG0493 GB1000 BR0000   h0263  R248 G255 B000
RG0492 GB1000 BR0000   h0264  R247 G255 B000
RG0491 GB1000 BR0000   h0265  R246 G255 B000
RG0490 GB1000 BR0000   h0266  R245 G255 B000
RG0488 GB1000 BR0000   h0267  R244 G255 B000
RG0487 GB1000 BR0000   h0268  R243 G255 B000
RG0486 GB1000 BR0000   h0269  R242 G255 B000
RG0485 GB1000 BR0000   h0270  R241 G255 B000
RG0484 GB1000 BR0000   h0271  R240 G255 B000
RG0483 GB1000 BR0000   h0272  R239 G255 B000
RG0482 GB1000 BR0000   h0273  R238 G255 B000
RG0481 GB1000 BR0000   h0274  R237 G255 B000
RG0480 GB1000 BR0000   h0275  R236 G255 B000
RG0479 GB1000 BR0000   h0276  R235 G255 B000
RG0478 GB1000 BR0000   h0277  R234 G255 B000
RG0477 GB1000 BR0000   h0278  R233 G255 B000
RG0476 GB1000 BR0000   h0279  R232 G255 B000
RG0475 GB1000 BR0000   h0280  R231 G255 B000
RG0474 GB1000 BR0000   h0281  R230 G255 B000
RG0473 GB1000 BR0000   h0282  R229 G255 B000
RG0472 GB1000 BR0000   h0283  R228 G255 B000
RG0470 GB1000 BR0000   h0284  R227 G255 B000
RG0469 GB1000 BR0000   h0285  R226 G255 B000
RG0468 GB1000 BR0000   h0286  R225 G255 B000
RG0467 GB1000 BR0000   h0287  R224 G255 B000
RG0466 GB1000 BR0000   h0288  R223 G255 B000
RG0465 GB1000 BR0000   h0289  R222 G255 B000
RG0464 GB1000 BR0000   h0290  R221 G255 B000
RG0463 GB1000 BR0000   h0291  R220 G255 B000
RG0462 GB1000 BR0000   h0292  R219 G255 B000
RG0460 GB1000 BR0000   h0293  R218 G255 B000
RG0459 GB1000 BR0000   h0294  R217 G255 B000
